バーコード,品名,備考,価格
4902777015927 ,明治ミルクチョコレート,棚１,118
45173646 ,マーブルチョコレート,棚１,129
49810721 ,ラムネ,棚１,70
4901313931240 ,揚一番,棚１,237
4901626024141 ,ぱりんこ,棚１,237
4901313937822 ,柿の種,棚１,324
4903333047345 ,チョコパイ,棚１,324
4903333064366 ,カスタードケーキ,棚１,324
4903015162014 ,エントリー,棚１,237
4903015160119 ,ルヴァン チーズサンドクラッカー,棚１,237
4903015127006 ,ノアール,棚１,237
4903015522658 ,チップスターうすしお,棚１,118
4903015522702 ,チップスターコンソメ,棚１,118
4902402873984 ,とんがりコーン焼きとうもろこし,棚１,194
4902402873977 ,あっさりしお,棚１,194
4902744031844 ,ガブリチュウグレープ,棚１,30
4902777014807 ,果汁グミもも,棚１,108
4902777079851 ,果汁グミぶどう,棚１,108
4903333078363 ,トッポ,棚１,162
4901005510029 ,ポッキー,棚１,162
4902777219684 ,ホルン,棚１,216
4901360317097 ,ブルボンオリジナルミックス,棚１,378
4901638811302 ,ミニチョコVスイート,棚１,200
4901360311057 ,ブルボンロアンヌ,棚１,324
4901360331390 ,ブランチュール,棚１,216
4901360336722 ,アルフォート,棚１,216
4901360335862 ,バームロール,棚１,162
4901330523145 ,ポテトチップスコンソメパンチ,棚１,137
4901330502881 ,ポテトチップスうすしお,棚１,137
4901330573041 ,じゃがりこサラダ,棚１,162
4902777008615 ,たけのこの里,棚１,216
4902777008592 ,きのこの山,棚１,216
4902777004532 ,明治アーモンド,棚１,237
4987035090014 ,カロリーメイトフルーツ,棚１,216
4987035090113 ,カロリーメイトチーズ,棚１,216
4902102132473 ,ジョージアグラン微糖,冷蔵庫,130
4902102122375 ,ジョージアエメラルドMB至福の微糖,冷蔵庫,130
4902102133425 ,ジョージアエメラルドMBブラック,冷蔵庫,130
4902102107341 ,ジョージアエメラルドマウンテン,冷蔵庫,null
4904910239801 ,ダイドーブレンドオリジナル,冷蔵庫,null
4902102000055 ,コカコーラ250ml,冷蔵庫,130
4902102127271 ,ジョージアカフェラテペット,冷蔵庫,160
4902102090933 ,綾鷹上煎茶280ml,冷蔵庫,130
4902102102834 ,爽健美茶280,冷蔵庫,130
4902102091855 ,いろはす,冷蔵庫,120
4902102128131 ,いろはすもも,冷蔵庫,140
4901340689213 ,カルピス,冷蔵庫,140
4902102107648 ,綾鷹上煎茶525ml,冷蔵庫,160
4902102119443 ,爽健美茶600ml,冷蔵庫,160
45019517 ,ポカリスエット,冷蔵庫,null
4902102069359 ,アクエリアス,冷蔵庫,160
4902102134644 ,リアルゴールドレモン,冷蔵庫,160
4902102114523 ,スプライト,冷蔵庫,160
